txHash,blockNumber,gasUsed,operatorGas,overhead,operatorCalls
0xb93c31c5565dd8c2f626bc6a88cd8018a180cee601c96715739a41695b20e11e,22536250,8700144,86032,0.00988857195926872,1
0x4f7178bc934b113769b8a463c2bfa2c7cca8e00489e49ef0e0cf46957c6ec223,22536304,233681,16074,0.06878608016911944,2
0xd0e4556f7ae626878f5f910e6aee51716429e2478ebd70bd40520afd74ee4288,22536366,154957,16074,0.10373200307181993,2
0x79ca606d2b370965928021b671b0619f618f4b8869cceb9ec08f1be885e10ca6,22536567,4810817,86032,0.017883033172951705,1
0xf50f0e7afd62b24c52bd93e13f026044594acc02875e855f0dbce2196a0c39eb,22538243,172988,16074,0.09291974009757903,2
0x222e4a0a83297317c644e282c4d6585fdaa7518193c84688d91c5e6f0234c793,22538653,202293,16074,0.07945900253592561,2
0x628e12ece5824b902bb4efc227e328a56ac033dd7837009fa17c0ec97266856f,22538948,202293,16074,0.07945900253592561,2
0xd4c32bf96fd6e9268e906659a439578a77099a2db21e721a1eb4a34da40b24ec,22546581,202293,16074,0.07945900253592561,2
0xf5a75688cff97cb90a0de5e789ddf41a9a7468baa403af3f4bcd36ee3cff0acd,22547081,188005,16074,0.0854977261243052,2
0x513636cdaed79e84402a301d78d60db5cb8ea6652109a91c1e562a29c59e5b1d,22549391,211663,16074,0.07594147300189452,2
0xab379dcf83254aaa9c475760b0a2231f3cc013382ce0ce2a4f26afd3ae521cef,22551611,211675,16074,0.07593716782803826,2
0xaf880d66d7e7dc79ce05fc10deccd66f3d4e1d1919a64a3d102fc4fb43530dc5,22551880,146224,16074,0.10992723492723493,2
0xf1001ecc34e0c6d8740bc52e4071f01c83e86ae15c1435eddf10d645993cd104,22554228,147948,16074,0.10864628112580095,2
0x59e7873ef3683a61e1f601f29cffc9c36415fbabdcd24c72963e59b948cd6b94,22565741,233648,16074,0.06879579538451003,2
0xaeef699f3151715b5ddcd3773733292bcffc5d3bc8025403acce20b105563f50,22566487,214548,16074,0.07492029755579172,2
0xb09c17ddcb34912008aa76e6855415f391815020957233da0a830b1395e0e826,22569932,206863,16074,0.07770360093395146,2
0x1cdcab6e8e31fa70124f7a8fe3fb230e181ba01c9dd3cf91340838e892b33da1,22573072,197460,16074,0.08140382862351869,2
0xda4fc88af2f91cdddadbe6f128a04410787c6c6d54fce6107cb3508c27e791f0,22581551,138570,16074,0.11599913401169085,2
0x5b0cea98446e6b35b97a1685e5b1b49e7fd493bc2c6ef6ca55d28aa2d9e1f70f,22583338,138570,16074,0.11599913401169085,2
0xb69ec548938e256bfff2bb276ec2cda6674d61d032543284c75bde7c04217c41,22590476,138570,16074,0.11599913401169085,2
0x16e4d107f7a57bb68cd7c9f62fc5c6f0fa125fd5e1e4526a396f6be9b14847bc,22598784,130363,16074,0.12330185712203616,2
0xf1d586c5e7d419cc48defa7592cefeb4da44ae25922f272bdc454f6a00c70243,22614395,145469,16074,0.11049776928417739,2
0xdc194d6fdff379f03b009f220aa24d870de5108702f679f76254608b33ea93cc,22616046,118408,16074,0.13575096277278562,2
0x7aaaefa9c3e6f432b10da0efa91bc583e2bdd2bd011c5d56fc2891db2105931d,22617633,202281,16074,0.07946371631542261,2
0x6329a6c60d6fdfdb6dfe205901995195994133457cd125e347a6bb7fd70fc4bb,22617700,129224,16074,0.12438865845353804,2
0x83da622f4080130330fd2f0c8c5626a20b9acf7b46d44463d6a8e44087fa4de7,22617724,162581,16074,0.09886764136030655,2
0xd8efd922ad9203bb8904d7d9cf7e8ee25c6d12dce164603efa490b5696feb922,22618473,134000,16074,0.11995522388059701,2
0xe8938696fd4a9185d99a3f97ad0bacc19a85cba9524569867bb4487b50a719ae,22618549,202293,16074,0.07945900253592561,2
0x17e7e1a676f98dd99c4507833e4e49e8f5fca4c6aad3ddb16041ac9bb12b62ba,22621812,183014,16074,0.08782934638880086,2
0xb509d08744cfcbf8d1bbc8cdfefea902d2cef5fc17d04f11c8df7d5210d93d37,22623088,160544,16074,0.10012208491130158,2
0x2d2a3815dcd4f6f93bfcd0ef72ad3c4d4b36b756f7a72c2e0fd9511633570c88,22623169,155732,16074,0.10321578095702874,2
0x8c43a30a4c12006c5a4f0ded411c4a707bf67699531577c04c8aa043cfeff92c,22632113,206875,16074,0.07769909365558912,2
0xc9426bdfc7eab0a7af3a493a682da1a1f76c7ffd30670ba63b5e5291f5080845,22632889,202075,16074,0.07954472349375231,2
0xe2ad36cafbf1a7b1788fb25df2d044b8ba380a2de59b13834f82154cf73c4402,22638471,102313,16074,0.15710613509524693,2
0xf932ecf888fb6d5b0962f74607704bc0c87d8c3fe0527b532cc9673c063b4bdd,22639845,206863,16074,0.07770360093395146,2
0xeba0c6c3caa51b760aee34f51b93cde9111f2600a7f2a52433d5d200bfecbb63,22652584,102313,16074,0.15710613509524693,2
0xed3a0cf019f6a95c934b438e7ad413f7b51367bfa98b57d9da47d52c0fd736f2,22652588,93285,16074,0.17231066087795466,2
0x855ec0bbcdcdc85ad5f3c57da2e23829b9d71d68ab677dacc1f33a7185102d23,22656168,206875,16074,0.07769909365558912,2
0x762dd2c04febee94f2290cdae41101650628a177a742ba3e2690377f38d4ecc6,22662588,206863,16074,0.07770360093395146,2
